fileNumber,mechanism,depth,holdIterations,lossMethod,trainedBestLoss,featureRMS_mV,featureBestIteration,balancedRMS_mV,balancedBestIteration,structuralIoU,structuralBestIteration,structuralComponents,partScore,partBestIteration,partCoverage,partSeparation,partSpurious
1600,Gpol-only,1,100,correlation,0.9465511226887319,35.1772,338,34.1785,2904,0.3684,2726,6,6.0174,2726,2.1667,4,0.0746
1601,Gpol-only,1,100,correlation,0.9190532427412347,35.0634,329,33.7743,2999,0.3684,2829,6,6.0174,2829,2.1667,4,0.0746
1602,Gpol-only,1,100,correlation,1.0715502088492381,35.8985,2748,34.878,2732,0.3333,2706,6,5.9577,2706,2.1667,4,0.1045
1603,Gpol-only,1,100,correlation,0.8756581178768713,35.7032,336,33.886,2999,0.375,2838,6,5.7736,2838,1.8333,4,0.0299
1604,Gpol-only,1,100,correlation,1.0448858316398704,33.7493,332,34.5867,2969,0.3125,2145,5,5.6542,2921,1.8333,4,0.0896
1605,Gpol-only,1,100,correlation,1.003250976870292,35.7101,333,36.1359,324,0.25,2971,4,5.1716,1746,1.5,4,0.1642
1606,Gpol-only,1,100,globalsum,3.508065082549157,34.4348,2999,33.1754,2999,0.4118,2984,6,6.0771,2984,2.1667,4,0.0448
1607,Gpol-only,1,100,globalsum,3.50828415516556,29.4376,1787,32.7086,1784,0.3889,2983,7,5.6119,1714,2.0,4,0.194
1608,Gpol-only,1,100,globalsum,3.438768674970495,27.4485,2924,29.6711,2926,0.5263,2791,4,3.9104,2746,2.0,2,0.0448
1609,Gpol-only,1,100,globalsum,3.513098736152297,34.5605,332,34.3351,2957,0.375,2804,6,5.7736,2804,1.8333,4,0.0299
1610,Gpol-only,1,100,globalsum,3.508144533395505,35.0773,2999,33.3864,2945,0.4375,2858,6,6.107,2858,2.1667,4,0.0299
1611,Gpol-only,1,100,globalsum,3.494269920667775,30.9349,1915,32.7694,2999,0.3158,2985,9,5.5174,2985,1.6667,4,0.0746
1612,Gpol-only,2,100,correlation,0.8624633511994259,25.0503,2594,28.8008,2589,0.55,2547,5,6.2139,1120,2.3333,4,0.0597
1613,Gpol-only,2,100,correlation,0.7422593362355807,27.8836,1496,31.9192,1541,0.4118,2887,6,6.3259,1536,2.8333,4,0.2537
1614,Gpol-only,2,100,correlation,1.0790423618501728,29.3221,1447,32.9525,1440,0.3571,2344,3,5.5647,1765,1.8333,4,0.1343
