fileNumber,lossMethod,mechanism,depth,T,featureRMS_mV,featureBestTimestep,balancedRMS_mV,balancedBestTimestep
1600,correlation,Gpol-only,1,100,35.1772,338,34.1785,2904
1601,correlation,Gpol-only,1,100,35.0634,329,33.7743,2999
1602,correlation,Gpol-only,1,100,35.8985,2748,34.878,2732
1603,correlation,Gpol-only,1,100,35.7032,336,33.886,2999
1604,correlation,Gpol-only,1,100,33.7493,332,34.5867,2969
1605,correlation,Gpol-only,1,100,35.7101,333,36.1359,324
1606,globalsum,Gpol-only,1,100,34.4348,2999,33.1754,2999
1607,globalsum,Gpol-only,1,100,29.4376,1787,32.7086,1784
1608,globalsum,Gpol-only,1,100,27.4485,2924,29.6711,2926
1609,globalsum,Gpol-only,1,100,34.5605,332,34.3351,2957
1610,globalsum,Gpol-only,1,100,35.0773,2999,33.3864,2945
1611,globalsum,Gpol-only,1,100,30.9349,1915,32.7694,2999
1612,correlation,Gpol-only,2,100,25.0503,2594,28.8008,2589
1613,correlation,Gpol-only,2,100,27.8836,1496,31.9192,1541
1614,correlation,Gpol-only,2,100,29.3221,1447,32.9525,1440
1615,correlation,Gpol-only,2,100,26.6079,1641,30.5939,1642
1616,correlation,Gpol-only,2,100,31.7533,1424,32.3522,1620
1617,correlation,Gpol-only,2,100,23.7634,2650,28.8134,2651
1618,globalsum,Gpol-only,2,100,33.6325,1150,33.5173,1141
1619,globalsum,Gpol-only,2,100,33.2657,1695,33.8648,1320
1620,globalsum,Gpol-only,2,100,34.8285,2999,32.9733,1336
1621,globalsum,Gpol-only,2,100,27.1261,1314,30.4402,1313
1622,globalsum,Gpol-only,2,100,36.3716,2302,35.0418,1092
1623,globalsum,Gpol-only,2,100,31.8707,1344,34.4591,1342
1624,correlation,Gpol+Vmem,1,100,32.366,1877,32.0759,2860
1625,correlation,Gpol+Vmem,1,100,32.281,2931,32.0729,2911
1626,correlation,Gpol+Vmem,1,100,31.0898,2946,32.4107,2934
1627,correlation,Gpol+Vmem,1,100,36.6072,360,34.5908,99
1628,correlation,Gpol+Vmem,1,100,33.7826,1935,32.6178,1934
1629,correlation,Gpol+Vmem,1,100,38.6547,2778,34.9649,99
1630,globalsum,Gpol+Vmem,1,100,36.0419,2770,33.694,99
1631,globalsum,Gpol+Vmem,1,100,30.5406,2780,31.3303,2905
1632,globalsum,Gpol+Vmem,1,100,33.2795,2794,32.8919,2904
1633,globalsum,Gpol+Vmem,1,100,33.1756,1924,33.2503,99
1634,globalsum,Gpol+Vmem,1,100,37.5529,380,34.594,99
1635,globalsum,Gpol+Vmem,1,100,29.3277,2854,30.1543,2904
1636,correlation,Gpol+Vmem,2,100,33.6429,1070,34.2436,1060
1637,correlation,Gpol+Vmem,2,100,23.3286,1139,28.5483,1139
1638,correlation,Gpol+Vmem,2,100,16.3962,2761,25.8776,2810
1639,correlation,Gpol+Vmem,2,100,26.4479,2318,29.1405,2317
1640,correlation,Gpol+Vmem,2,100,31.1628,1023,31.5712,1018
1641,correlation,Gpol+Vmem,2,100,37.1979,643,34.7985,1126
1642,globalsum,Gpol+Vmem,2,100,30.5256,796,31.4116,796
1643,globalsum,Gpol+Vmem,2,100,35.0235,2999,34.0222,550
1644,globalsum,Gpol+Vmem,2,100,36.0276,2981,34.3081,2980
1645,globalsum,Gpol+Vmem,2,100,16.2629,2953,25.3845,2948
1646,globalsum,Gpol+Vmem,2,100,31.8246,2638,31.7771,2707
1647,globalsum,Gpol+Vmem,2,100,38.7232,2941,34.3446,2984
1648,correlation,Gpol-only,1,301,29.224,2932,30.8264,2927
1649,correlation,Gpol-only,1,301,34.3665,2825,33.7151,2845
1650,correlation,Gpol-only,1,301,36.8001,288,36.7134,258
1651,correlation,Gpol-only,1,301,32.8384,2714,32.6111,2888
1652,correlation,Gpol-only,1,301,23.7429,2636,28.1743,2661
1653,correlation,Gpol-only,1,301,34.8885,2767,34.2714,2816
1654,globalsum,Gpol-only,1,301,18.8106,2999,26.7016,2999
1655,globalsum,Gpol-only,1,301,19.5907,2941,26.8463,2942
1656,globalsum,Gpol-only,1,301,23.6498,2999,28.5276,2999
1657,globalsum,Gpol-only,1,301,31.8238,2999,32.8598,2985
1658,globalsum,Gpol-only,1,301,25.2233,2999,30.0162,2999
1659,globalsum,Gpol-only,1,301,35.2001,2999,33.8478,2999
1660,correlation,Gpol-only,2,301,32.6906,2650,33.1511,1090
1661,correlation,Gpol-only,2,301,24.4698,2524,29.0635,2512
1662,correlation,Gpol-only,2,301,27.1823,2904,29.6577,2905
1663,correlation,Gpol-only,2,301,30.2146,2405,32.4555,2388
1664,correlation,Gpol-only,2,301,27.0214,2360,30.0073,2360
1665,correlation,Gpol-only,2,301,24.9978,2479,29.5824,2471
1666,globalsum,Gpol-only,2,301,32.5332,979,32.0816,978
1667,globalsum,Gpol-only,2,301,25.1286,2474,29.0434,2448
1668,globalsum,Gpol-only,2,301,28.5378,2559,30.8593,2558
1669,globalsum,Gpol-only,2,301,33.7099,2494,32.5795,2999
1670,globalsum,Gpol-only,2,301,32.7509,2665,32.482,2236
1671,globalsum,Gpol-only,2,301,26.8491,2570,30.1093,2571
1672,correlation,Gpol+Vmem,1,301,30.3846,1530,29.437,300
1673,correlation,Gpol+Vmem,1,301,30.7932,1683,31.3887,256
1674,correlation,Gpol+Vmem,1,301,35.2236,1946,31.9449,256
1675,correlation,Gpol+Vmem,1,301,34.5254,842,29.7483,300
1676,correlation,Gpol+Vmem,1,301,35.0372,856,31.9278,262
1677,correlation,Gpol+Vmem,1,301,41.6744,289,33.3212,257
1678,globalsum,Gpol+Vmem,1,301,25.6654,1831,29.7484,1831
1679,globalsum,Gpol+Vmem,1,301,28.9756,316,28.6614,300
1680,globalsum,Gpol+Vmem,1,301,29.4292,349,28.501,300
1681,globalsum,Gpol+Vmem,1,301,37.7136,2552,31.6157,254
1682,globalsum,Gpol+Vmem,1,301,32.7322,2082,30.6523,264
1683,globalsum,Gpol+Vmem,1,301,29.9853,2202,31.5954,2205
1684,correlation,Gpol+Vmem,2,301,31.7977,2031,33.3186,2031
1685,correlation,Gpol+Vmem,2,301,24.317,1596,29.3908,1809
1686,correlation,Gpol+Vmem,2,301,36.9164,2668,32.871,2999
1687,correlation,Gpol+Vmem,2,301,31.4326,1093,31.8548,886
1688,correlation,Gpol+Vmem,2,301,33.2485,916,32.7318,904
1689,correlation,Gpol+Vmem,2,301,34.7432,1970,34.5689,1919
1690,globalsum,Gpol+Vmem,2,301,24.2866,2920,28.8003,2924
1691,globalsum,Gpol+Vmem,2,301,16.5106,2997,23.5371,2983
1692,globalsum,Gpol+Vmem,2,301,21.2548,1489,28.4911,1477
1693,globalsum,Gpol+Vmem,2,301,34.0023,1731,35.0691,1761
1694,globalsum,Gpol+Vmem,2,301,34.3205,2670,33.6468,2924
1695,globalsum,Gpol+Vmem,2,301,28.584,2996,30.1635,2989
1696,correlation,Gpol-only,1,100,34.7976,331,33.4651,2958
1697,correlation,Gpol-only,1,100,34.6845,2553,32.9099,2932
1698,correlation,Gpol-only,1,100,35.5105,334,36.0808,325
1699,correlation,Gpol-only,1,100,33.0337,2906,32.5432,2904
1700,correlation,Gpol-only,1,100,35.6881,338,34.0834,2999
1701,correlation,Gpol-only,1,100,30.0433,2999,31.4751,2999
1702,globalsum,Gpol-only,1,100,34.9215,2999,33.2185,2999
1703,globalsum,Gpol-only,1,100,34.2641,331,33.3951,2997
1704,globalsum,Gpol-only,1,100,35.6239,2955,34.4023,2744
1705,globalsum,Gpol-only,1,100,24.8344,2999,28.2173,2999
1706,globalsum,Gpol-only,1,100,34.3348,2832,32.9015,2999
1707,globalsum,Gpol-only,1,100,34.9156,333,34.2409,2932
1708,correlation,Gpol-only,2,100,28.1001,1381,31.2435,1390
1709,correlation,Gpol-only,2,100,33.2662,1144,32.7478,1131
1710,correlation,Gpol-only,2,100,31.7056,2638,33.7823,2646
1711,correlation,Gpol-only,2,100,31.4277,2553,32.761,1274
1712,correlation,Gpol-only,2,100,32.7937,2761,32.4882,2723
1713,correlation,Gpol-only,2,100,33.7508,2428,33.481,2419
1714,globalsum,Gpol-only,2,100,27.2535,1209,30.1826,1205
1715,globalsum,Gpol-only,2,100,23.3777,2941,28.7304,2939
1716,globalsum,Gpol-only,2,100,15.9981,2660,25.4487,2663
1717,globalsum,Gpol-only,2,100,16.6614,2999,25.769,2999
1718,globalsum,Gpol-only,2,100,29.3983,2978,30.9501,2847
1719,globalsum,Gpol-only,2,100,33.6603,1448,34.2255,1442
1720,correlation,Gpol+Vmem,1,100,36.4934,2080,35.226,99
