fileNumber,lossMethod,mechanism,depth,T,partScore,partBestTimestep,coverage,separation,spurious
1600,correlation,Gpol-only,1,100,6.0174,2726,2.1667,4,0.0746
1601,correlation,Gpol-only,1,100,6.0174,2829,2.1667,4,0.0746
1602,correlation,Gpol-only,1,100,5.9577,2706,2.1667,4,0.1045
1603,correlation,Gpol-only,1,100,5.7736,2838,1.8333,4,0.0299
1604,correlation,Gpol-only,1,100,5.6542,2921,1.8333,4,0.0896
1605,correlation,Gpol-only,1,100,5.1716,1746,1.5,4,0.1642
1606,globalsum,Gpol-only,1,100,6.0771,2984,2.1667,4,0.0448
1607,globalsum,Gpol-only,1,100,5.6119,1714,2.0,4,0.194
1608,globalsum,Gpol-only,1,100,3.9104,2746,2.0,2,0.0448
1609,globalsum,Gpol-only,1,100,5.7736,2804,1.8333,4,0.0299
1610,globalsum,Gpol-only,1,100,6.107,2858,2.1667,4,0.0299
1611,globalsum,Gpol-only,1,100,5.5174,2985,1.6667,4,0.0746
1612,correlation,Gpol-only,2,100,6.2139,1120,2.3333,4,0.0597
1613,correlation,Gpol-only,2,100,6.3259,1536,2.8333,4,0.2537
1614,correlation,Gpol-only,2,100,5.5647,1765,1.8333,4,0.1343
1615,correlation,Gpol-only,2,100,6.6891,1639,3.1667,4,0.2388
1616,correlation,Gpol-only,2,100,5.3085,1287,1.6667,4,0.1791
1617,correlation,Gpol-only,2,100,6.5348,2608,2.8333,4,0.1493
1618,globalsum,Gpol-only,2,100,4.2139,944,1.3333,3,0.0597
1619,globalsum,Gpol-only,2,100,5.9154,1668,2.3333,4,0.209
1620,globalsum,Gpol-only,2,100,5.8682,2878,2.1667,4,0.1493
1621,globalsum,Gpol-only,2,100,6.5348,1290,2.8333,4,0.1493
1622,globalsum,Gpol-only,2,100,5.107,2867,1.1667,4,0.0299
1623,globalsum,Gpol-only,2,100,5.4876,2787,1.6667,4,0.0896
1624,correlation,Gpol+Vmem,1,100,6.2139,2831,2.3333,4,0.0597
1625,correlation,Gpol+Vmem,1,100,6.3806,2891,2.5,4,0.0597
1626,correlation,Gpol+Vmem,1,100,5.2139,2900,2.3333,3,0.0597
1627,correlation,Gpol+Vmem,1,100,5.7786,882,2.1667,4,0.194
1628,correlation,Gpol+Vmem,1,100,6.2736,1922,2.3333,4,0.0299
1629,correlation,Gpol+Vmem,1,100,5.5771,2879,1.6667,4,0.0448
1630,globalsum,Gpol+Vmem,1,100,5.9104,2734,2.0,4,0.0448
1631,globalsum,Gpol+Vmem,1,100,6.5174,2739,2.6667,4,0.0746
1632,globalsum,Gpol+Vmem,1,100,5.0473,2764,2.1667,3,0.0597
1633,globalsum,Gpol+Vmem,1,100,6.0174,1893,2.1667,4,0.0746
1634,globalsum,Gpol+Vmem,1,100,5.607,2981,1.6667,4,0.0299
1635,globalsum,Gpol+Vmem,1,100,6.6667,2885,2.6667,4,0.0
1636,correlation,Gpol+Vmem,2,100,5.9453,1041,2.3333,4,0.194
1637,correlation,Gpol+Vmem,2,100,7.0945,1126,3.3333,4,0.1194
1638,correlation,Gpol+Vmem,2,100,7.4279,2965,3.6667,4,0.1194
1639,correlation,Gpol+Vmem,2,100,6.8507,2295,3.0,4,0.0746
1640,correlation,Gpol+Vmem,2,100,6.2612,1453,2.5,4,0.1194
1641,correlation,Gpol+Vmem,2,100,5.5174,1097,1.6667,4,0.0746
1642,globalsum,Gpol+Vmem,2,100,6.5473,766,2.6667,4,0.0597
1643,globalsum,Gpol+Vmem,2,100,5.8507,2983,2.0,4,0.0746
1644,globalsum,Gpol+Vmem,2,100,4.4577,1478,1.6667,3,0.1045
1645,globalsum,Gpol+Vmem,2,100,7.3682,2918,3.6667,4,0.1493
1646,globalsum,Gpol+Vmem,2,100,6.4403,2747,2.5,4,0.0299
1647,globalsum,Gpol+Vmem,2,100,5.0821,1405,1.5,4,0.209
1648,correlation,Gpol-only,1,301,6.107,2336,2.1667,4,0.0299
1649,correlation,Gpol-only,1,301,6.1368,2944,2.1667,4,0.0149
1650,correlation,Gpol-only,1,301,5.1119,1642,1.5,4,0.194
1651,correlation,Gpol-only,1,301,6.2139,2692,2.3333,4,0.0597
1652,correlation,Gpol-only,1,301,6.9876,2638,3.1667,4,0.0896
1653,correlation,Gpol-only,1,301,6.1542,2912,2.3333,4,0.0896
1654,globalsum,Gpol-only,1,301,5.9453,2872,2.3333,4,0.194
1655,globalsum,Gpol-only,1,301,5.4453,1647,1.8333,4,0.194
1656,globalsum,Gpol-only,1,301,6.5945,2764,2.8333,4,0.1194
1657,globalsum,Gpol-only,1,301,4.0473,2013,1.1667,3,0.0597
1658,globalsum,Gpol-only,1,301,5.6953,2940,2.0833,4,0.194
1659,globalsum,Gpol-only,1,301,5.9876,2988,2.1667,4,0.0896
1660,correlation,Gpol-only,2,301,6.0697,2639,2.6667,4,0.2985
1661,correlation,Gpol-only,2,301,5.7015,2495,3.0,3,0.1493
1662,correlation,Gpol-only,2,301,5.9104,2982,3.0,3,0.0448
1663,correlation,Gpol-only,2,301,5.9876,1057,2.1667,4,0.0896
1664,correlation,Gpol-only,2,301,6.5174,2561,2.6667,4,0.0746
1665,correlation,Gpol-only,2,301,6.0647,2418,2.3333,4,0.1343
1666,globalsum,Gpol-only,2,301,6.2139,946,2.3333,4,0.0597
1667,globalsum,Gpol-only,2,301,5.7015,2639,3.0,3,0.1493
1668,globalsum,Gpol-only,2,301,5.5,2928,2.5,3,0.0
1669,globalsum,Gpol-only,2,301,6.3209,2988,2.5,4,0.0896
1670,globalsum,Gpol-only,2,301,6.1418,2955,2.5,4,0.1791
1671,globalsum,Gpol-only,2,301,5.9577,1080,2.1667,4,0.1045
1672,correlation,Gpol+Vmem,1,301,5.5821,1499,2.0,4,0.209
1673,correlation,Gpol+Vmem,1,301,6.607,1746,2.6667,4,0.0299
1674,correlation,Gpol+Vmem,1,301,6.0174,2878,2.1667,4,0.0746
1675,correlation,Gpol+Vmem,1,301,5.5174,2894,1.6667,4,0.0746
1676,correlation,Gpol+Vmem,1,301,5.4876,803,1.6667,4,0.0896
1677,correlation,Gpol+Vmem,1,301,3.7438,872,0.8333,3,0.0448
1678,globalsum,Gpol+Vmem,1,301,6.5945,1795,2.8333,4,0.1194
1679,globalsum,Gpol+Vmem,1,301,5.9279,2055,2.1667,4,0.1194
1680,globalsum,Gpol+Vmem,1,301,5.8682,1566,2.1667,4,0.1493
1681,globalsum,Gpol+Vmem,1,301,5.4751,1026,1.8333,4,0.1791
1682,globalsum,Gpol+Vmem,1,301,5.107,1359,1.1667,4,0.0299
1683,globalsum,Gpol+Vmem,1,301,6.9403,2242,3.0,4,0.0299
1684,correlation,Gpol+Vmem,2,301,5.9279,1970,2.1667,4,0.1194
1685,correlation,Gpol+Vmem,2,301,5.9104,1794,3.0,3,0.0448
1686,correlation,Gpol+Vmem,2,301,4.9876,909,1.1667,4,0.0896
1687,correlation,Gpol+Vmem,2,301,6.291,1813,2.5,4,0.1045
1688,correlation,Gpol+Vmem,2,301,5.6542,1900,1.8333,4,0.0896
1689,correlation,Gpol+Vmem,2,301,5.3383,1205,1.6667,4,0.1642
1690,globalsum,Gpol+Vmem,2,301,6.9876,2943,3.1667,4,0.0896
1691,globalsum,Gpol+Vmem,2,301,7.5771,2949,3.6667,4,0.0448
1692,globalsum,Gpol+Vmem,2,301,5.9453,1425,2.3333,4,0.194
1693,globalsum,Gpol+Vmem,2,301,5.9453,1791,2.3333,4,0.194
1694,globalsum,Gpol+Vmem,2,301,5.4701,2977,1.5,4,0.0149
1695,globalsum,Gpol+Vmem,2,301,6.6841,2966,2.8333,4,0.0746
1696,correlation,Gpol-only,1,100,6.107,2778,2.1667,4,0.0299
1697,correlation,Gpol-only,1,100,6.3333,2906,2.3333,4,0.0
1698,correlation,Gpol-only,1,100,4.2139,2943,1.3333,3,0.0597
1699,correlation,Gpol-only,1,100,5.0174,2866,2.1667,3,0.0746
1700,correlation,Gpol-only,1,100,5.291,1673,1.5,4,0.1045
1701,correlation,Gpol-only,1,100,6.4577,2984,2.6667,4,0.1045
1702,globalsum,Gpol-only,1,100,6.0771,2957,2.1667,4,0.0448
1703,globalsum,Gpol-only,1,100,6.0771,2984,2.1667,4,0.0448
1704,globalsum,Gpol-only,1,100,6.0174,2706,2.1667,4,0.0746
1705,globalsum,Gpol-only,1,100,6.5771,2992,2.6667,4,0.0448
