fileNumber,lossMethod,mechanism,depth,T,structIoU,structBestTimestep,nComponents
1600,correlation,Gpol-only,1,100,0.3684,2726,6
1601,correlation,Gpol-only,1,100,0.3684,2829,6
1602,correlation,Gpol-only,1,100,0.3333,2706,6
1603,correlation,Gpol-only,1,100,0.375,2838,6
1604,correlation,Gpol-only,1,100,0.3125,2145,5
1605,correlation,Gpol-only,1,100,0.25,2971,4
1606,globalsum,Gpol-only,1,100,0.4118,2984,6
1607,globalsum,Gpol-only,1,100,0.3889,2983,7
1608,globalsum,Gpol-only,1,100,0.5263,2791,4
1609,globalsum,Gpol-only,1,100,0.375,2804,6
1610,globalsum,Gpol-only,1,100,0.4375,2858,6
1611,globalsum,Gpol-only,1,100,0.3158,2985,9
1612,correlation,Gpol-only,2,100,0.55,2547,5
1613,correlation,Gpol-only,2,100,0.4118,2887,6
1614,correlation,Gpol-only,2,100,0.3571,2344,3
1615,correlation,Gpol-only,2,100,0.5,2851,5
1616,correlation,Gpol-only,2,100,0.4118,2628,6
1617,correlation,Gpol-only,2,100,0.6875,2775,3
1618,globalsum,Gpol-only,2,100,0.3478,1116,9
1619,globalsum,Gpol-only,2,100,0.2941,2039,7
1620,globalsum,Gpol-only,2,100,0.3636,1322,7
1621,globalsum,Gpol-only,2,100,0.5294,2968,6
1622,globalsum,Gpol-only,2,100,0.4,1817,3
1623,globalsum,Gpol-only,2,100,0.3529,1768,3
1624,correlation,Gpol+Vmem,1,100,0.4444,2831,4
1625,correlation,Gpol+Vmem,1,100,0.4444,2891,6
1626,correlation,Gpol+Vmem,1,100,0.5,2900,7
1627,correlation,Gpol+Vmem,1,100,0.3333,1185,7
1628,correlation,Gpol+Vmem,1,100,0.5,1922,5
1629,correlation,Gpol+Vmem,1,100,0.3529,2879,4
1630,globalsum,Gpol+Vmem,1,100,0.4118,2734,5
1631,globalsum,Gpol+Vmem,1,100,0.4737,2739,7
1632,globalsum,Gpol+Vmem,1,100,0.4444,2764,7
1633,globalsum,Gpol+Vmem,1,100,0.4211,1893,7
1634,globalsum,Gpol+Vmem,1,100,0.375,2981,8
1635,globalsum,Gpol+Vmem,1,100,0.6429,2885,4
1636,correlation,Gpol+Vmem,2,100,0.3158,2902,3
1637,correlation,Gpol+Vmem,2,100,0.5455,1126,4
1638,correlation,Gpol+Vmem,2,100,0.625,791,5
1639,correlation,Gpol+Vmem,2,100,0.5789,2295,9
1640,correlation,Gpol+Vmem,2,100,0.5625,776,5
1641,correlation,Gpol+Vmem,2,100,0.3333,692,5
1642,globalsum,Gpol+Vmem,2,100,0.5,766,4
1643,globalsum,Gpol+Vmem,2,100,0.3889,527,3
1644,globalsum,Gpol+Vmem,2,100,0.2857,1478,6
1645,globalsum,Gpol+Vmem,2,100,0.5417,2918,7
1646,globalsum,Gpol+Vmem,2,100,0.5625,2747,6
1647,globalsum,Gpol+Vmem,2,100,0.375,2984,3
1648,correlation,Gpol-only,1,301,0.5263,2915,4
1649,correlation,Gpol-only,1,301,0.4667,2944,5
1650,correlation,Gpol-only,1,301,0.1905,1530,7
1651,correlation,Gpol-only,1,301,0.4444,2692,6
1652,correlation,Gpol-only,1,301,0.5556,2890,5
1653,correlation,Gpol-only,1,301,0.4,2912,8
1654,globalsum,Gpol-only,1,301,0.4444,2986,5
1655,globalsum,Gpol-only,1,301,0.4444,2905,5
1656,globalsum,Gpol-only,1,301,0.4783,2955,5
1657,globalsum,Gpol-only,1,301,0.381,2930,6
1658,globalsum,Gpol-only,1,301,0.3158,2724,9
1659,globalsum,Gpol-only,1,301,0.3571,2130,3
1660,correlation,Gpol-only,2,301,0.4444,1079,6
1661,correlation,Gpol-only,2,301,0.5,1124,3
1662,correlation,Gpol-only,2,301,0.6471,2982,6
1663,correlation,Gpol-only,2,301,0.4,1057,6
1664,correlation,Gpol-only,2,301,0.5263,2561,6
1665,correlation,Gpol-only,2,301,0.5333,2801,3
1666,globalsum,Gpol-only,2,301,0.4444,946,4
1667,globalsum,Gpol-only,2,301,0.5,2400,7
1668,globalsum,Gpol-only,2,301,0.6429,2928,3
1669,globalsum,Gpol-only,2,301,0.4667,2028,4
1670,globalsum,Gpol-only,2,301,0.4667,2187,4
1671,globalsum,Gpol-only,2,301,0.5,2587,5
1672,correlation,Gpol+Vmem,1,301,0.3571,702,3
1673,correlation,Gpol+Vmem,1,301,0.5625,1746,5
1674,correlation,Gpol+Vmem,1,301,0.375,749,3
1675,correlation,Gpol+Vmem,1,301,0.3478,813,4
1676,correlation,Gpol+Vmem,1,301,0.381,834,5
1677,correlation,Gpol+Vmem,1,301,0.1875,2851,4
1678,globalsum,Gpol+Vmem,1,301,0.625,845,5
1679,globalsum,Gpol+Vmem,1,301,0.32,2090,6
1680,globalsum,Gpol+Vmem,1,301,0.375,502,1
1681,globalsum,Gpol+Vmem,1,301,0.3333,2531,5
1682,globalsum,Gpol+Vmem,1,301,0.3333,2423,4
1683,globalsum,Gpol+Vmem,1,301,0.625,2242,6
1684,correlation,Gpol+Vmem,2,301,0.4091,2078,2
1685,correlation,Gpol+Vmem,2,301,0.6471,1794,5
1686,correlation,Gpol+Vmem,2,301,0.5,2858,3
1687,correlation,Gpol+Vmem,2,301,0.6429,853,3
1688,correlation,Gpol+Vmem,2,301,0.5,874,4
1689,correlation,Gpol+Vmem,2,301,0.3571,771,3
1690,globalsum,Gpol+Vmem,2,301,0.55,2943,6
1691,globalsum,Gpol+Vmem,2,301,0.7647,2949,7
1692,globalsum,Gpol+Vmem,2,301,0.4138,1456,5
1693,globalsum,Gpol+Vmem,2,301,0.3571,2770,3
1694,globalsum,Gpol+Vmem,2,301,0.4706,2930,3
1695,globalsum,Gpol+Vmem,2,301,0.5263,2966,4
1696,correlation,Gpol-only,1,100,0.4375,2778,6
1697,correlation,Gpol-only,1,100,0.5714,2906,6
1698,correlation,Gpol-only,1,100,0.2778,2943,8
1699,correlation,Gpol-only,1,100,0.4211,2866,6
1700,correlation,Gpol-only,1,100,0.3889,2671,7
1701,correlation,Gpol-only,1,100,0.4286,2984,10
1702,globalsum,Gpol-only,1,100,0.4118,2957,6
1703,globalsum,Gpol-only,1,100,0.4118,2984,6
1704,globalsum,Gpol-only,1,100,0.3684,2706,6
1705,globalsum,Gpol-only,1,100,0.5882,2992,7
1706,globalsum,Gpol-only,1,100,0.4118,2753,6
1707,globalsum,Gpol-only,1,100,0.4286,2913,4
1708,correlation,Gpol-only,2,100,0.5,2767,5
1709,correlation,Gpol-only,2,100,0.3636,1111,7
1710,correlation,Gpol-only,2,100,0.4211,2957,7
1711,correlation,Gpol-only,2,100,0.5714,2890,3
1712,correlation,Gpol-only,2,100,0.5625,2871,5
1713,correlation,Gpol-only,2,100,0.381,2410,7
1714,globalsum,Gpol-only,2,100,0.4545,1384,4
1715,globalsum,Gpol-only,2,100,0.3929,2902,6
1716,globalsum,Gpol-only,2,100,0.5714,2912,4
1717,globalsum,Gpol-only,2,100,0.5909,2982,9
1718,globalsum,Gpol-only,2,100,0.4737,2707,6
1719,globalsum,Gpol-only,2,100,0.3478,1561,9
1720,correlation,Gpol+Vmem,1,100,0.2917,2071,7
1721,correlation,Gpol+Vmem,1,100,0.3478,1179,5
1722,correlation,Gpol+Vmem,1,100,0.5625,2670,6
1723,correlation,Gpol+Vmem,1,100,0.3478,2260,7
1724,correlation,Gpol+Vmem,1,100,0.4667,2793,4
1725,correlation,Gpol+Vmem,1,100,0.2917,1739,9
1726,globalsum,Gpol+Vmem,1,100,0.375,595,3
1727,globalsum,Gpol+Vmem,1,100,0.5625,2978,6
1728,globalsum,Gpol+Vmem,1,100,0.5,2921,6
1729,globalsum,Gpol+Vmem,1,100,0.5333,1790,4
1730,globalsum,Gpol+Vmem,1,100,0.5625,2883,6
1731,globalsum,Gpol+Vmem,1,100,0.4375,2646,5
1732,correlation,Gpol+Vmem,2,100,0.3889,2875,8
1733,correlation,Gpol+Vmem,2,100,0.375,637,5
1734,correlation,Gpol+Vmem,2,100,0.5,790,3
1735,correlation,Gpol+Vmem,2,100,0.3571,665,3
1736,correlation,Gpol+Vmem,2,100,0.4286,2886,3
1737,correlation,Gpol+Vmem,2,100,0.4286,2915,6
1738,globalsum,Gpol+Vmem,2,100,0.6111,2978,5
1739,globalsum,Gpol+Vmem,2,100,0.3333,1026,8
1740,globalsum,Gpol+Vmem,2,100,0.4286,641,3
1741,globalsum,Gpol+Vmem,2,100,0.5294,1478,7
1742,globalsum,Gpol+Vmem,2,100,0.3636,1419,5
1743,globalsum,Gpol+Vmem,2,100,0.3478,842,4
1744,correlation,Gpol-only,1,301,0.25,2094,4
1745,correlation,Gpol-only,1,301,0.4,2824,5
1746,correlation,Gpol-only,1,301,0.1905,1540,7
1747,correlation,Gpol-only,1,301,0.4,2789,5
1748,correlation,Gpol-only,1,301,0.4211,2976,5
1749,correlation,Gpol-only,1,301,0.25,2947,7
1750,globalsum,Gpol-only,1,301,0.25,2898,6
1751,globalsum,Gpol-only,1,301,0.52,2976,5
1752,globalsum,Gpol-only,1,301,0.4074,2972,5
1753,globalsum,Gpol-only,1,301,0.5,2969,5
1754,globalsum,Gpol-only,1,301,0.4,2927,5
1755,globalsum,Gpol-only,1,301,0.44,2984,5
1756,correlation,Gpol-only,2,301,0.5294,2929,8
1757,correlation,Gpol-only,2,301,0.5,720,5
1758,correlation,Gpol-only,2,301,0.4091,2727,5
1759,correlation,Gpol-only,2,301,0.4375,2951,8
1760,correlation,Gpol-only,2,301,0.5556,2384,7
1761,correlation,Gpol-only,2,301,0.4667,2088,4
1762,globalsum,Gpol-only,2,301,0.5,628,5
1763,globalsum,Gpol-only,2,301,0.5455,2602,5
1764,globalsum,Gpol-only,2,301,0.4444,989,4
1765,globalsum,Gpol-only,2,301,0.5,2312,5
1766,globalsum,Gpol-only,2,301,0.4444,2895,7
1767,globalsum,Gpol-only,2,301,0.5,2979,6
1768,correlation,Gpol+Vmem,1,301,0.4091,2858,9
1769,correlation,Gpol+Vmem,1,301,0.5333,2745,5
1770,correlation,Gpol+Vmem,1,301,0.7857,2987,4
1771,correlation,Gpol+Vmem,1,301,0.4706,2901,6
1772,correlation,Gpol+Vmem,1,301,0.4286,2938,3
1773,correlation,Gpol+Vmem,1,301,0.5625,2903,6
1774,globalsum,Gpol+Vmem,1,301,0.4,2946,3
1775,globalsum,Gpol+Vmem,1,301,0.5,2911,3
1776,globalsum,Gpol+Vmem,1,301,0.4286,749,3
1777,globalsum,Gpol+Vmem,1,301,0.625,2726,6
1778,globalsum,Gpol+Vmem,1,301,0.4737,2969,5
1779,globalsum,Gpol+Vmem,1,301,0.5,2979,5
1780,correlation,Gpol+Vmem,2,301,0.5714,858,4
1781,correlation,Gpol+Vmem,2,301,0.5333,2887,4
1782,correlation,Gpol+Vmem,2,301,0.5,805,5
1783,correlation,Gpol+Vmem,2,301,0.75,956,4
1784,correlation,Gpol+Vmem,2,301,0.625,1018,6
1785,correlation,Gpol+Vmem,2,301,0.5714,833,3
1786,globalsum,Gpol+Vmem,2,301,0.5,2949,5
1787,globalsum,Gpol+Vmem,2,301,0.4444,2964,6
1788,globalsum,Gpol+Vmem,2,301,0.3333,2950,8
1789,globalsum,Gpol+Vmem,2,301,0.381,2904,7
1790,globalsum,Gpol+Vmem,2,301,0.35,2935,10
1791,globalsum,Gpol+Vmem,2,301,0.3684,2983,7
1792,facialFeatureOnly,Gpol-only,1,100,0.25,2135,5
1793,facialFeatureOnly,Gpol-only,1,100,0.375,2768,6
1794,facialFeatureOnly,Gpol-only,1,100,0.3333,2742,8
1795,facialFeatureOnly,Gpol-only,1,100,0.3704,2876,5
1796,facialFeatureOnly,Gpol-only,1,100,0.3125,2092,5
1797,facialFeatureOnly,Gpol-only,1,100,0.3571,2115,3
1798,facialFeatureOnly,Gpol-only,1,100,0.36,2954,5
1799,facialFeatureOnly,Gpol-only,1,100,0.3667,2997,7
1800,facialFeatureOnly,Gpol-only,1,100,0.4783,2892,5
1801,facialFeatureOnly,Gpol-only,1,100,0.3125,2082,3
1802,facialFeatureOnly,Gpol-only,1,100,0.4762,2975,5
1803,facialFeatureOnly,Gpol-only,1,100,0.3103,2940,10
1804,facialFeatureOnly,Gpol-only,2,100,0.4444,2898,7
1805,facialFeatureOnly,Gpol-only,2,100,0.4615,2877,6
1806,facialFeatureOnly,Gpol-only,2,100,0.3846,2939,10
1807,facialFeatureOnly,Gpol-only,2,100,0.5,2550,7
1808,facialFeatureOnly,Gpol-only,2,100,0.2857,710,3
1809,facialFeatureOnly,Gpol-only,2,100,0.4375,2873,5
1810,facialFeatureOnly,Gpol-only,2,100,0.3043,1644,5
1811,facialFeatureOnly,Gpol-only,2,100,0.2963,1252,3
1812,facialFeatureOnly,Gpol-only,2,100,0.5652,2927,10
1813,facialFeatureOnly,Gpol-only,2,100,0.4643,1756,4
1814,facialFeatureOnly,Gpol-only,2,100,0.5789,2891,8
1815,facialFeatureOnly,Gpol-only,2,100,0.48,2868,11
1816,facialFeatureOnly,Gpol+Vmem,1,100,0.4211,2627,8
1817,facialFeatureOnly,Gpol+Vmem,1,100,0.4,2576,5
1818,facialFeatureOnly,Gpol+Vmem,1,100,0.4286,2888,8
1819,facialFeatureOnly,Gpol+Vmem,1,100,0.5455,2978,10
1820,facialFeatureOnly,Gpol+Vmem,1,100,0.4286,2232,4
1821,facialFeatureOnly,Gpol+Vmem,1,100,0.3913,2968,8
1822,facialFeatureOnly,Gpol+Vmem,1,100,0.4167,2899,10
1823,facialFeatureOnly,Gpol+Vmem,1,100,0.5385,2877,4
1824,facialFeatureOnly,Gpol+Vmem,1,100,0.3913,2973,13
1825,facialFeatureOnly,Gpol+Vmem,1,100,0.6667,2678,5
1826,facialFeatureOnly,Gpol+Vmem,1,100,0.5789,2845,6
1827,facialFeatureOnly,Gpol+Vmem,1,100,0.4348,2862,7
1828,facialFeatureOnly,Gpol+Vmem,2,100,0.4,2725,8
1829,facialFeatureOnly,Gpol+Vmem,2,100,0.5,2623,4
1830,facialFeatureOnly,Gpol+Vmem,2,100,0.5,621,3
1831,facialFeatureOnly,Gpol+Vmem,2,100,0.5556,1194,7
1832,facialFeatureOnly,Gpol+Vmem,2,100,0.5,837,4
1833,facialFeatureOnly,Gpol+Vmem,2,100,0.3636,1355,5
1834,facialFeatureOnly,Gpol+Vmem,2,100,0.4615,2885,7
1835,facialFeatureOnly,Gpol+Vmem,2,100,0.4348,1231,7
1836,facialFeatureOnly,Gpol+Vmem,2,100,0.4444,832,4
1837,facialFeatureOnly,Gpol+Vmem,2,100,0.4286,720,3
1838,facialFeatureOnly,Gpol+Vmem,2,100,0.4167,2659,8
1839,facialFeatureOnly,Gpol+Vmem,2,100,0.3667,2877,8
1840,facialFeatureOnly,Gpol-only,1,301,0.4444,2948,3
1841,facialFeatureOnly,Gpol-only,1,301,0.4815,2944,3
1842,facialFeatureOnly,Gpol-only,1,301,0.4138,2915,2
1843,facialFeatureOnly,Gpol-only,1,301,0.4667,2987,2
1844,facialFeatureOnly,Gpol-only,1,301,0.3571,2943,6
1845,facialFeatureOnly,Gpol-only,1,301,0.4138,2893,5
1846,facialFeatureOnly,Gpol-only,1,301,0.5,2756,8
1847,facialFeatureOnly,Gpol-only,1,301,0.4815,2924,5
1848,facialFeatureOnly,Gpol-only,1,301,0.2857,2699,11
1849,facialFeatureOnly,Gpol-only,1,301,0.35,2715,6
1850,facialFeatureOnly,Gpol-only,1,301,0.3235,2949,6
1851,facialFeatureOnly,Gpol-only,1,301,0.4643,2909,4
1852,facialFeatureOnly,Gpol-only,2,301,0.5,623,5
1853,facialFeatureOnly,Gpol-only,2,301,0.3793,2871,8
1854,facialFeatureOnly,Gpol-only,2,301,0.3889,633,5
1855,facialFeatureOnly,Gpol-only,2,301,0.4583,2891,5
1856,facialFeatureOnly,Gpol-only,2,301,0.4444,985,6
1857,facialFeatureOnly,Gpol-only,2,301,0.5714,621,3
1858,facialFeatureOnly,Gpol-only,2,301,0.375,2968,3
1859,facialFeatureOnly,Gpol-only,2,301,0.5714,617,3
1860,facialFeatureOnly,Gpol-only,2,301,0.5385,2890,7
1861,facialFeatureOnly,Gpol-only,2,301,0.5,636,5
1862,facialFeatureOnly,Gpol-only,2,301,0.5833,2878,11
1863,facialFeatureOnly,Gpol-only,2,301,0.5455,2996,5
1864,facialFeatureOnly,Gpol+Vmem,1,301,0.3913,2620,10
1865,facialFeatureOnly,Gpol+Vmem,1,301,0.3333,885,5
1866,facialFeatureOnly,Gpol+Vmem,1,301,0.5,2779,6
1867,facialFeatureOnly,Gpol+Vmem,1,301,0.4118,762,4
1868,facialFeatureOnly,Gpol+Vmem,1,301,0.381,2673,10
1869,facialFeatureOnly,Gpol+Vmem,1,301,0.3125,373,1
1870,facialFeatureOnly,Gpol+Vmem,1,301,0.6667,2842,6
1871,facialFeatureOnly,Gpol+Vmem,1,301,0.4286,2989,5
1872,facialFeatureOnly,Gpol+Vmem,1,301,0.4444,729,3
1873,facialFeatureOnly,Gpol+Vmem,1,301,0.2857,2971,8
1874,facialFeatureOnly,Gpol+Vmem,1,301,0.5,2574,6
1875,facialFeatureOnly,Gpol+Vmem,1,301,0.4545,2999,10
1876,facialFeatureOnly,Gpol+Vmem,2,301,0.4,931,5
1877,facialFeatureOnly,Gpol+Vmem,2,301,0.48,2992,9
1878,facialFeatureOnly,Gpol+Vmem,2,301,0.2857,2982,3
1879,facialFeatureOnly,Gpol+Vmem,2,301,0.4762,2994,9
1880,facialFeatureOnly,Gpol+Vmem,2,301,0.4516,2980,4
1881,facialFeatureOnly,Gpol+Vmem,2,301,0.5455,2919,6
1882,facialFeatureOnly,Gpol+Vmem,2,301,0.4737,2945,8
1883,facialFeatureOnly,Gpol+Vmem,2,301,0.4167,1293,7
1884,facialFeatureOnly,Gpol+Vmem,2,301,0.2727,2902,10
1885,facialFeatureOnly,Gpol+Vmem,2,301,0.6429,846,3
1886,facialFeatureOnly,Gpol+Vmem,2,301,0.6429,2819,6
1887,facialFeatureOnly,Gpol+Vmem,2,301,0.4286,642,3
1888,facialFeatureBalanced,Gpol-only,1,100,0.4375,2685,6
1889,facialFeatureBalanced,Gpol-only,1,100,0.3571,2103,3
1890,facialFeatureBalanced,Gpol-only,1,100,0.4,2954,10
1891,facialFeatureBalanced,Gpol-only,1,100,0.5789,2904,6
1892,facialFeatureBalanced,Gpol-only,1,100,0.3,2759,8
1893,facialFeatureBalanced,Gpol-only,1,100,0.3571,2132,3
1894,facialFeatureBalanced,Gpol-only,1,100,0.32,2913,4
1895,facialFeatureBalanced,Gpol-only,1,100,0.2381,2823,7
1896,facialFeatureBalanced,Gpol-only,1,100,0.4706,2892,9
1897,facialFeatureBalanced,Gpol-only,1,100,0.4706,2896,9
1898,facialFeatureBalanced,Gpol-only,1,100,0.3571,2161,3
1899,facialFeatureBalanced,Gpol-only,1,100,0.4737,2855,9
1900,facialFeatureBalanced,Gpol-only,2,100,0.5,2967,4
1901,facialFeatureBalanced,Gpol-only,2,100,0.5625,2498,5
1902,facialFeatureBalanced,Gpol-only,2,100,0.45,2770,5
1903,facialFeatureBalanced,Gpol-only,2,100,0.4091,2899,3
1904,facialFeatureBalanced,Gpol-only,2,100,0.5,2593,7
1905,facialFeatureBalanced,Gpol-only,2,100,0.36,2748,6
1906,facialFeatureBalanced,Gpol-only,2,100,0.5714,2982,8
1907,facialFeatureBalanced,Gpol-only,2,100,0.5,1210,6
1908,facialFeatureBalanced,Gpol-only,2,100,0.5263,2950,5
