fileNumber,lossMethod,mechanism,depth,T,bulkBestLoss,numSimIters,featureRMS_mV,featureBestTimestep
1792,facialFeatureOnly,Gpol-only,1,100,0.03702277869723503,3000,36.1174,2996
1793,facialFeatureOnly,Gpol-only,1,100,0.031507607993034634,3000,30.8109,2999
1794,facialFeatureOnly,Gpol-only,1,100,0.029939848779606343,3000,29.2115,2944
1795,facialFeatureOnly,Gpol-only,1,100,0.024748278689525997,3000,23.6305,2999
1796,facialFeatureOnly,Gpol-only,1,100,0.03508356351863008,3000,34.3904,2959
1797,facialFeatureOnly,Gpol-only,1,100,0.03739176599954811,3000,34.6572,2999
1798,facialFeatureOnly,Gpol-only,1,100,0.030302472603632655,3000,28.8392,2999
1799,facialFeatureOnly,Gpol-only,1,100,0.027067405176707658,3000,21.6315,2999
1800,facialFeatureOnly,Gpol-only,1,100,0.024214244633556977,3000,23.9271,2926
1801,facialFeatureOnly,Gpol-only,1,100,0.03259597852094701,3000,32.2531,2852
1802,facialFeatureOnly,Gpol-only,1,100,0.030178857549989252,3000,28.9127,2988
1803,facialFeatureOnly,Gpol-only,1,100,0.03275856791085692,3000,30.7634,2967
1804,facialFeatureOnly,Gpol-only,2,100,0.023950071114879477,3000,22.3484,2924
1805,facialFeatureOnly,Gpol-only,2,100,0.012682328505398438,3000,10.6446,2940
1806,facialFeatureOnly,Gpol-only,2,100,0.027538941763049975,3000,26.8741,2958
1807,facialFeatureOnly,Gpol-only,2,100,0.022165378575607197,3000,20.5715,2840
1808,facialFeatureOnly,Gpol-only,2,100,0.037495075434265966,3000,36.7381,2965
1809,facialFeatureOnly,Gpol-only,2,100,0.008762261557709428,3000,8.579,2923
1810,facialFeatureOnly,Gpol-only,2,100,0.04020166604629519,3000,33.6509,1677
1811,facialFeatureOnly,Gpol-only,2,100,0.037183871532567435,3000,32.1098,1413
1812,facialFeatureOnly,Gpol-only,2,100,0.018834613905421644,3000,17.6033,2957
1813,facialFeatureOnly,Gpol-only,2,100,0.03441018036669085,3000,16.2363,1784
1814,facialFeatureOnly,Gpol-only,2,100,0.025030826262551615,3000,24.8945,2942
